source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:holothri-micrantha:unknown:45809","Holothrix micrantha","","holothri micrantha",""
"openfarm:citrus-karna:unknown:20733","Citrus karna","","citrus karna",""
"openfarm:riccia-trachyglossum:unknown:76999","Riccia trachyglossum","","riccia trachyglossum",""
"openfarm:lewisia-nevadensis:nevada-bitter-root-nevada-lewisia-nevada-bitterroot:52271","Lewisia nevadensis","Nevada bitter-root, Nevada lewisia, Nevada bitterroot","lewisia nevadensis","nevada bitter root nevada lewisia nevada bitterroot"
"openfarm:aeollanthus-namibiensis:unknown:2364","Aeollanthus namibiensis","","aeollanthus namibiensis",""
"openfarm:vaccaria-hispanica:spanish-soapwort-cow-cockle-cow-herb-saponaria-espanha:92628","Vaccaria hispanica","Spanish soapwort, cow-cockle, Cow-herb, saponaria de Espanha","vaccaria hispanica","spanish soapwort cow cockle cow herb saponaria espanha"
"openfarm:erica-amoena:unknown:33628","Erica amoena","","erica amoena",""
"openfarm:asparagus-retrofractus:unknown:9247","Asparagus retrofractus","","asparagus retrofractus",""
"openfarm:serruria-foeniculacea:unknown:82355","Serruria foeniculacea","","serruria foeniculacea",""
"openfarm:hordeum-pusillum:unknown:45995","Hordeum pusillum","","hordeum pusillum",""
"openfarm:physocarpus-malvaceus:mallow-ninebark:69057","Physocarpus malvaceus","mallow ninebark","physocarpus malvaceus","mallow ninebark"
"openfarm:combretum-bracteosum:hiccup-nut-hiccough-nut-hikklimop:22320","Combretum bracteosum","Hiccup nut, hiccough nut, hikklimop","combretum bracteosum","hiccup nut hiccough nut hikklimop"
"openfarm:cerastium-regelii:regel-chickweed:18107","Cerastium regelii","Regel's chickweed","cerastium regelii","regel chickweed"
"openfarm:coccoloba-rugosa:ortegon:21812","Coccoloba rugosa","ortegon","coccoloba rugosa","ortegon"
"openfarm:dierama-dissimile:unknown:29426","Dierama dissimile","","dierama dissimile",""
"openfarm:piptochaetium-pringlei:pringle-speargrass-pringle-speargrass-pringle-spear-grass-pringle-needlegrass:69782","Piptochaetium pringlei","Pringle speargrass, Pringle's speargrass, Pringle's spear grass, pringle needlegrass","piptochaetium pringlei","pringle speargrass pringle speargrass pringle spear grass pringle needlegrass"
"openfarm:puccinellia-hultenii:hulten-alkaligrass:74310","Puccinellia hultenii","Hulten's alkaligrass","puccinellia hultenii","hulten alkaligrass"
"openfarm:phlo-nivalis-hentzii:hentz-phlox:68285","Phlox nivalis ssp. hentzii","Hentz's phlox","phlo nivalis","hentz phlox"
"openfarm:gyrosigma-acuminatum:unknown:42781","Gyrosigma acuminatum","","gyrosigma acuminatum",""
"openfarm:diphyscium-cumberlandianum:cumberland-diphyscium-moss:30135","Diphyscium cumberlandianum","Cumberland diphyscium moss","diphyscium cumberlandianum","cumberland diphyscium moss"
"openfarm:aloe-aristata:unknown:4304","Aloe aristata","","aloe aristata",""
"openfarm:populus-deltoides:eastern-cottonwood-cottonwood-eastern-poplar-yellow-cottonwood-water-poplar-necklace-poplar-peuplier-amerique-choupo-america:72119","Populus deltoides","eastern cottonwood, cottonwood, eastern poplar, yellow cottonwood, water poplar, necklace poplar, peuplier d'Amerique, choupo da America","populus deltoides","eastern cottonwood cottonwood eastern poplar yellow cottonwood water poplar necklace poplar peuplier amerique choupo america"
"openfarm:silene-campanulata-greenei:greene-catchfly:82894","Silene campanulata ssp. greenei","Greene's catchfly","silene campanulata","greene catchfly"
"openfarm:tephrosia-polystachya-polystachya:unknown:88635","Tephrosia polystachya var. polystachya","","tephrosia polystachya",""
"openfarm:cosmarium-logoense:unknown:23868","Cosmarium logoense","","cosmarium logoense",""
"openfarm:fraxinus-berlandierana:unknown:39370","Fraxinus berlandierana","","fraxinus berlandierana",""
"openfarm:prosopis-alba:unknown:72947","Prosopis alba","","prosopis alba",""
"openfarm:centaurium-sebaeoides:awiwi-lavaslope-centaury-awiwi:17754","Centaurium sebaeoides","awiwi, lavaslope centaury, `Awiwi","centaurium sebaeoides","awiwi lavaslope centaury awiwi"
"openfarm:acacia-luederitzii-retinens:belly-thorn-black-thorn-hook-thorn-rooi-wag-bietjie-swarthaak-swarthakiesdoring-blouhaak-haakdoring-buikdoring-mongana-moswana:652","Acacia luederitzii var. retinens","belly thorn, black thorn, hook thorn, rooi-wag- 'n-bietjie, swarthaak, swarthakiesdoring, blouhaak, haakdoring, buikdoring, mongana-moswana","acacia luederitzii","belly thorn black thorn hook thorn rooi wag bietjie swarthaak swarthakiesdoring blouhaak haakdoring buikdoring mongana moswana"
"openfarm:sophora-prostrata:unknown:84108","Sophora prostrata","","sophora prostrata",""
"openfarm:rhus-glauca:unknown:76424","Rhus glauca","","rhus glauca",""
"openfarm:impatiens:unknown:47302","Impatiens sp.","","impatiens",""
"openfarm:adhatoda-zeylanica:unknown:2100","Adhatoda zeylanica","","adhatoda zeylanica",""
"openfarm:titonia-tubaetormis:unknown:90185","Titonia tubaetormis","","titonia tubaetormis",""
"openfarm:tittmannia-laxa-langebergensis:unknown:90189","Tittmannia laxa var. langebergensis","","tittmannia laxa",""
"openfarm:sunquat:unknown:87266","Sunquat","","sunquat",""
"openfarm:anthospermum-dregei-dregei:unknown:6532","Anthospermum dregei ssp. dregei","","anthospermum dregei",""
"openfarm:haemanthus-deformis:unknown:42927","Haemanthus deformis","","haemanthus deformis",""
"openfarm:ruschia-clavellata:unknown:78303","Ruschia clavellata","","ruschia clavellata",""
"openfarm:periploca:unknown:67183","Periploca","","periploca",""
"openfarm:dubautia-knudsenii-filiformis:forest-dubautia:31470","Dubautia knudsenii ssp. filiformis","forest dubautia","dubautia knudsenii","forest dubautia"
"openfarm:cynodontium-strumiferum:cynodontium-moss:26820","Cynodontium strumiferum","cynodontium moss","cynodontium strumiferum","cynodontium moss"
"openfarm:agathosma-squamosa:unknown:2734","Agathosma squamosa","","agathosma squamosa",""
"openfarm:polemonium-liniflorum:unknown:71305","Polemonium liniflorum","","polemonium liniflorum",""
"openfarm:sutera-comptonii:unknown:87378","Sutera comptonii","","sutera comptonii",""
"openfarm:adelia-ricinella:wild-lime:1958","Adelia ricinella","wild lime","adelia ricinella","lime"
"openfarm:scytosiphon-lomentaria-lomentaria:unknown:81256","Scytosiphon lomentaria var. lomentaria","","scytosiphon lomentaria",""
"openfarm:gymnopogon-ambiguus:bearded-skeletongrass:42652","Gymnopogon ambiguus","bearded skeletongrass","gymnopogon ambiguus","bearded skeletongrass"
"openfarm:ceratium-concilians:unknown:18157","Ceratium concilians","","ceratium concilians",""
"openfarm:solanum-adscendens:sonoita-nightshade:83443","Solanum adscendens","sonoita nightshade","solanum adscendens","sonoita nightshade"
"openfarm:hygrohypnum-cochlearifolium:hygrohypnum-moss:46514","Hygrohypnum cochlearifolium","hygrohypnum moss","hygrohypnum cochlearifolium","hygrohypnum moss"
"openfarm:hyptis-americana:american-bushmint:47115","Hyptis americana","American bushmint","hyptis americana","american bushmint"
"openfarm:muraltia-barkerae:unknown:59396","Muraltia barkerae","","muraltia barkerae",""
"openfarm:eriocaulon-hydrophilum:unknown:34872","Eriocaulon hydrophilum","","eriocaulon hydrophilum",""
"openfarm:festuca-scabriuscula:unknown:38432","Festuca scabriuscula","","festuca scabriuscula",""
"openfarm:chromulina-globosa:unknown:19787","Chromulina globosa","","chromulina globosa",""
"openfarm:oedogonium-pungens:unknown:62313","Oedogonium pungens","","oedogonium pungens",""
"openfarm:otholobium-pungens:unknown:63739","Otholobium pungens","","otholobium pungens",""
"openfarm:helosis-cayennensis:unknown:44375","Helosis cayennensis","","helosis cayennensis",""
"openfarm:ribes-rubrum:redcurrant:76877","Ribes rubrum","redcurrant","ribes rubrum","redcurrant"
"openfarm:polysiphonia-scopulorum-villum:unknown:71962","Polysiphonia scopulorum var. villum","","polysiphonia scopulorum",""
"openfarm:crantzia-ambigua:unknown:24316","Crantzia ambigua","","crantzia ambigua",""
"openfarm:helenium-nudiflorum:unknown:43685","Helenium nudiflorum","","helenium nudiflorum",""
"openfarm:cosmarium-variolatum:unknown:24110","Cosmarium variolatum","","cosmarium variolatum",""
"openfarm:blumea-myriacephala:unknown:12419","Blumea myriacephala","","blumea myriacephala",""
"openfarm:garcinia-kola:bitter-kola:40070","Garcinia kola","bitter kola","garcinia kola","bitter kola"
"openfarm:ajwain-carom-seeds:unknown:3175","Ajwain, carom seeds (Trachyspermum ammi) (South Asia, India, Afghanistan,Iran, Egypt, Eritrea & Ethiopia)","","ajwain carom",""
"openfarm:dipentodon-sinicus:unknown:30129","Dipentodon sinicus","","dipentodon sinicus",""
"openfarm:symphyotrichum-fendleri:fendler-aster:87596","Symphyotrichum fendleri","Fendler's aster","symphyotrichum fendleri","fendler aster"
"openfarm:gethyllis-fimbriatula:unknown:40729","Gethyllis fimbriatula","","gethyllis fimbriatula",""
"openfarm:odonthalia-dentata:unknown:62105","Odonthalia dentata","","odonthalia dentata",""
"openfarm:polystachya-sandersonii:unknown:71984","Polystachya sandersonii","","polystachya sandersonii",""
"openfarm:hibiscus-sidiformis:unknown:45441","Hibiscus sidiformis","","hibiscus sidiformis",""
"openfarm:matelea-borinquensis:san-lorenzo-milkvine:56407","Matelea borinquensis","San Lorenzo milkvine","matelea borinquensis","san lorenzo milkvine"
"openfarm:erigeron-uncialis-uncialis:lone-fleabane-lone-daisy:34827","Erigeron uncialis ssp. uncialis","lone fleabane, lone daisy","erigeron uncialis","lone fleabane lone daisy"
"openfarm:cryptantha-paysonii:payson-cryptantha-payson-catseye:25461","Cryptantha paysonii","Payson's cryptantha, Payson's catseye","cryptantha paysonii","payson cryptantha payson catseye"
"openfarm:poblano:unknown:71093","Poblano","","poblano",""
"openfarm:stylisma-aquatica:water-dawnflower:87109","Stylisma aquatica","water dawnflower","stylisma aquatica","water dawnflower"
"openfarm:campylopodiella-stenocarpa:campylopodiella-moss:15425","Campylopodiella stenocarpa","campylopodiella moss","campylopodiella stenocarpa","campylopodiella moss"
"openfarm:cercocarpus-betuloides:birchleaf-mountainmahogany:18338","Cercocarpus betuloides","birchleaf mountainmahogany","cercocarpus betuloides","birchleaf mountainmahogany"
"openfarm:erythrina-oaxacana:unknown:35940","Erythrina oaxacana","","erythrina oaxacana",""
"openfarm:callitriche-heterophylla-bolanderi:bolander-water-starwort:14712","Callitriche heterophylla ssp. bolanderi","Bolander's water-starwort","callitriche heterophylla","bolander water starwort"
"openfarm:abutilon-piloso-cinereum:unknown:174","Abutilon piloso-cinereum","","abutilon piloso",""
"openfarm:solanum-torvum:unknown:83779","Solanum torvum","","solanum torvum",""
"openfarm:erica-rufescens:unknown:34303","Erica rufescens","","erica rufescens",""
"openfarm:sidalcea-diploscypha:fringed-checkerbloom:82748","Sidalcea diploscypha","fringed checkerbloom","sidalcea diploscypha","fringed checkerbloom"
"openfarm:tussilago-farfara:coltsfoot:92079","Tussilago farfara","Coltsfoot","tussilago farfara","coltsfoot"
"openfarm:nothofagus-solandri:unknown:61748","Nothofagus solandri","","nothofagus solandri",""
"openfarm:nemophila-pulchella-fremontii:fremont-baby-blue-eyes:60914","Nemophila pulchella var. fremontii","Fremont's baby blue eyes","nemophila pulchella","fremont baby blue eyes"
"openfarm:hesperantha-fibrosa:unknown:44891","Hesperantha fibrosa","","hesperantha fibrosa",""
"openfarm:lavrania-marlothii:unknown:51043","Lavrania marlothii","","lavrania marlothii",""
"openfarm:eriogonum-microthecum-microthecum:slender-buckwheat:35224","Eriogonum microthecum var. microthecum","slender buckwheat","eriogonum microthecum","slender buckwheat"
"openfarm:syncrypta-volvox:unknown:87784","Syncrypta volvox","","syncrypta volvox",""
"openfarm:quincula-lobata:chinese-lantern-chinese-lantern-purple-groundcherry-purpleflower-groundcherry:75094","Quincula lobata","Chinese lantern, Chinese-lantern, purple groundcherry, purpleflower groundcherry","quincula lobata","chinese lantern chinese lantern purple groundcherry purpleflower groundcherry"
"openfarm:dracophyllum:unknown:31107","Dracophyllum","","dracophyllum",""
"openfarm:gladiolus-vaginatus-subtilis:unknown:41164","Gladiolus vaginatus ssp. subtilis","","gladiolus vaginatus",""
"openfarm:salsola-robinsonii:unknown:79251","Salsola robinsonii","","salsola robinsonii",""
"openfarm:dioscorea-smilacifolia:unknown:29956","Dioscorea smilacifolia","","dioscorea smilacifolia",""
"openfarm:brassica-campestris-toria:unknown:13233","Brassica campestris var. toria","","brassica campestris",""
"openfarm:cheilanthes-alabamensis:alabama-lip-fern-alabama-lipfern:19101","Cheilanthes alabamensis","Alabama lip fern, Alabama lipfern","cheilanthes alabamensis","alabama lip fern alabama lipfern"
"openfarm:senecio-discodregeanus:unknown:81867","Senecio discodregeanus","","senecio discodregeanus",""
"openfarm:salvia-lanigera:unknown:79355","Salvia lanigera","","salvia lanigera",""
"openfarm:sutera-affinis:unknown:87359","Sutera affinis","","sutera affinis",""
"openfarm:dionysia-saponacea:unknown:29830","Dionysia saponacea","","dionysia saponacea",""
"openfarm:albizia-purpusii:unknown:3251","Albizia purpusii","","albizia purpusii",""
"openfarm:millettia:unknown:58043","Millettia sp.","","millettia",""
"openfarm:menodora-decemfida-longifolia:tenfinger-menodora:57082","Menodora decemfida var. longifolia","tenfinger menodora","menodora decemfida","tenfinger menodora"
"openfarm:sali-sericea:silky-willow:79088","Salix sericea","silky willow","sali sericea","silky willow"
"openfarm:herrania-kofanorum:unknown:44821","Herrania kofanorum","","herrania kofanorum",""
"openfarm:camissonia-exilis:cottonwood-springs-suncup:15255","Camissonia exilis","Cottonwood Springs suncup","camissonia exilis","cottonwood springs suncup"
"openfarm:clutia-hirsuta-robusta:unknown:21719","Clutia hirsuta var. robusta","","clutia hirsuta",""
"openfarm:vite-ferruginea:unknown:94060","Vitex ferruginea","","vite ferruginea",""
"openfarm:stichococcus-minutissimus:unknown:86456","Stichococcus minutissimus","","stichococcus minutissimus",""
"openfarm:plectranthus-reflexus:unknown:70520","Plectranthus reflexus","","plectranthus reflexus",""
"openfarm:machaeranthera-asteroides-asteroides:new-mexico-tansyaster:55246","Machaeranthera asteroides var. asteroides","New Mexico tansyaster","machaeranthera asteroides","new mexico tansyaster"
"openfarm:rhapidophyllum-hystrix:needle-palm:75902","Rhapidophyllum hystrix","needle palm","rhapidophyllum hystrix","needle palm"
"openfarm:pterocelastrus-rostratus:unknown:74051","Pterocelastrus rostratus","","pterocelastrus rostratus",""
"openfarm:bacopa-monnieri:water-hyssop-bacopa:11117","Bacopa monnieri","water hyssop, bacopa","bacopa monnieri","water hyssop bacopa"
"openfarm:alyssum-campestre:unknown:4725","Alyssum campestre","","alyssum campestre",""
"openfarm:disporum-hookeri:drops-gold:30513","Disporum hookeri","drops of gold","disporum hookeri","drops gold"
"openfarm:ageratina-aromatica-incisa:lesser-snakeroot:2833","Ageratina aromatica var. incisa","lesser snakeroot","ageratina aromatica","lesser snakeroot"
"openfarm:othonna-frutescens:unknown:63786","Othonna frutescens","","othonna frutescens",""
"openfarm:tylophora-indica:unknown:92138","Tylophora indica","","tylophora indica",""
"openfarm:helenium-polyphyllum:sneezeweed:43693","Helenium X polyphyllum","sneezeweed","helenium polyphyllum","sneezeweed"
"openfarm:impatiens-noli-tangere:unknown:47292","Impatiens noli-tangere","","impatiens noli",""
"openfarm:ursinia-pygmaea:unknown:92518","Ursinia pygmaea","","ursinia pygmaea",""
"openfarm:potentilla-rivalis:brook-cinquefoil-river-cinquefoil:72536","Potentilla rivalis","brook cinquefoil, river cinquefoil","potentilla rivalis","brook cinquefoil river cinquefoil"
"openfarm:thuidium-tamariscinum:tamarisk-thuidium-moss:89886","Thuidium tamariscinum","tamarisk thuidium moss","thuidium tamariscinum","tamarisk thuidium moss"
"openfarm:oenothera-californica-eurekensis:eurela-dunes-evening-primrose:62379","Oenothera californica ssp. eurekensis","Eurela Dunes evening-primrose","oenothera californica","eurela dunes evening primrose"
"openfarm:prunus-maximowiczii:unknown:73274","Prunus maximowiczii","","prunus maximowiczii",""
"openfarm:cirsium-turneri:cliff-thistle:20533","Cirsium turneri","cliff thistle","cirsium turneri","cliff thistle"
"openfarm:prismatocarpus-pilosus:unknown:72821","Prismatocarpus pilosus","","prismatocarpus pilosus",""
"openfarm:canthium-kuntzeanum:unknown:15589","Canthium kuntzeanum","","canthium kuntzeanum",""
"openfarm:elymus-mendocinus:unknown:32482","Elymus mendocinus","","elymus mendocinus",""
"openfarm:agoseris-apargioides-maritima:woolly-goat-chicory:2891","Agoseris apargioides var. maritima","woolly goat chicory","agoseris apargioides","woolly goat chicory"
"openfarm:ericameria-nauseosa-nitida:rubber-rabbitbrush:34516","Ericameria nauseosa var. nitida","rubber rabbitbrush","ericameria nauseosa","rubber rabbitbrush"
"openfarm:patrinia:unknown:65605","Patrinia","","patrinia",""
"openfarm:hermannia-stricta:unknown:44732","Hermannia stricta","","hermannia stricta",""
"openfarm:prunus-murrayana:murray-plum:73283","Prunus murrayana","Murray's plum","prunus murrayana","murray plum"
"openfarm:clappertinia-polyandra:unknown:20842","Clappertinia polyandra","","clappertinia polyandra",""
"openfarm:geum-triflorum-canescens:old-man-whiskers-old-man-whiskers-alpine-old-man-whiskers:40786","Geum triflorum var. canescens","old man's whiskers, old-man's-whiskers, alpine old man's whiskers","geum triflorum","old man whiskers old man whiskers alpine old man whiskers"
"openfarm:frullania-franciscana:unknown:39519","Frullania franciscana","","frullania franciscana",""
"openfarm:biddulphia-pulchella:unknown:12086","Biddulphia pulchella","","biddulphia pulchella",""
"openfarm:nerine-huttoniae:unknown:61113","Nerine huttoniae","","nerine huttoniae",""
"openfarm:desmidium-pseudostreptonema:unknown:28614","Desmidium pseudostreptonema","","desmidium pseudostreptonema",""
"openfarm:chara-braunii:unknown:18962","Chara braunii","","chara braunii",""
"openfarm:hyalotheca-mucosa:unknown:46316","Hyalotheca mucosa","","hyalotheca mucosa",""
"openfarm:orthotrichum-exiguum:orthotrichum-moss:63507","Orthotrichum exiguum","orthotrichum moss","orthotrichum exiguum","orthotrichum moss"
"openfarm:doryopteris:unknown:30846","Doryopteris","","doryopteris",""
"openfarm:mountain-papaya:unknown:59125","Mountain papaya","","mountain papaya",""
"openfarm:grammatophora-oceanica-subtilissima:unknown:42036","Grammatophora oceanica var. subtilissima","","grammatophora oceanica",""
"openfarm:lachnocaulon-digynum:pineland-bogbutton:50110","Lachnocaulon digynum","pineland bogbutton","lachnocaulon digynum","pineland bogbutton"
"openfarm:penstemon-laricifolius-exilifolius:larchleaf-beardtongue:66646","Penstemon laricifolius ssp. exilifolius","larchleaf beardtongue","penstemon laricifolius","larchleaf beardtongue"
"openfarm:zygophyllum-microphyllum:unknown:95796","Zygophyllum microphyllum","","zygophyllum microphyllum",""
"openfarm:osteospermum-attenuatum:unknown:63642","Osteospermum attenuatum","","osteospermum attenuatum",""
"openfarm:grewia-sulcata:unknown:42200","Grewia sulcata","","grewia sulcata",""
"openfarm:erigeron-foliosus-foliosus:leafy-fleabane:34668","Erigeron foliosus var. foliosus","leafy fleabane","erigeron foliosus","leafy fleabane"
"openfarm:aristotelia-chilensis:unknown:8117","Aristotelia chilensis","","aristotelia chilensis",""
"openfarm:arthrodesmus-octocornis-octocornis:unknown:8418","Arthrodesmus octocornis var. octocornis","","arthrodesmus octocornis",""
"openfarm:acroceras-oryzoides:unknown:1779","Acroceras oryzoides","","acroceras oryzoides",""
"openfarm:cirsium-ownbeyi:ownbey-thistle:20488","Cirsium ownbeyi","Ownbey's thistle","cirsium ownbeyi","ownbey thistle"
"openfarm:unknown:sorghum:96057","","sorghum","","sorghum"
"openfarm:acalypha-ostryaefolia:hophornbeam-copperleaf:1155","Acalypha ostryaefolia","hophornbeam copperleaf","acalypha ostryaefolia","hophornbeam copperleaf"
"openfarm:cissus-rhombifolia:unknown:20597","Cissus rhombifolia","","cissus rhombifolia",""
"openfarm:schizachyrium-spadiceum:honey-bluestem:80501","Schizachyrium spadiceum","honey bluestem","schizachyrium spadiceum","honey bluestem"
"openfarm:cordyline-petiolaris:unknown:23224","Cordyline petiolaris","","cordyline petiolaris",""
"openfarm:rubus-apetalus:unknown:77599","Rubus apetalus","","rubus apetalus",""
"openfarm:moringa-oleifera:morunga-suhujna-sahajan-munga-kalan-shiferaw-meelsakboom-mzunze-ewe-igbale-zogallagandi:59030","Moringa oleifera","morunga, suhujna, sahajan, munga, Kalan'gi (Hamer-Bena), Shiferaw (Amargna), meelsakboom, mzunze, ewe-igbale, zogallagandi","moringa oleifera","morunga suhujna sahajan munga kalan shiferaw meelsakboom mzunze ewe igbale zogallagandi"
"openfarm:prunus-mahaleb:mahaleb-cherry-mahlep-wild-cherry-perfumed-cherry-lucie-cherry-cereja-perfumada:73266","Prunus mahaleb","Mahaleb cherry, Mahlep, wild cherry, perfumed cherry, St. Lucie cherry, cereja perfumada","prunus mahaleb","mahaleb cherry mahlep cherry perfumed cherry lucie cherry cereja perfumada"
"openfarm:rudbeckia-californica-californica:california-coneflower:77977","Rudbeckia californica var. californica","California coneflower","rudbeckia californica","california coneflower"
"openfarm:arundinella-brasiliensis:unknown:8572","Arundinella brasiliensis","","arundinella brasiliensis",""
"openfarm:juncus-bufonius-occidentalis:toad-rush:48994","Juncus bufonius var. occidentalis","toad rush","juncus bufonius","toad rush"
"openfarm:astomiopsis-amblyocalyx:unknown:9660","Astomiopsis amblyocalyx","","astomiopsis amblyocalyx",""
"openfarm:arctotis-microcephala:unknown:7460","Arctotis microcephala","","arctotis microcephala",""
"openfarm:navicula-transitans-transitans:unknown:60641","Navicula transitans var. transitans","","navicula transitans",""
"openfarm:pandanus-antaresensis:unknown:64713","Pandanus antaresensis","","pandanus antaresensis",""
"openfarm:metzgeria-crassipilis:unknown:57617","Metzgeria crassipilis","","metzgeria crassipilis",""
"openfarm:care-castanea:chestnut-sedge:16021","Carex castanea","chestnut sedge","care castanea","chestnut sedge"
"openfarm:dionysia-microphylla:unknown:29825","Dionysia microphylla","","dionysia microphylla",""
"openfarm:draba-kassii:kass-draba:30992","Draba kassii","Kass' draba","draba kassii","kass draba"
"openfarm:cyathula-orthacantha:unknown:26217","Cyathula orthacantha","","cyathula orthacantha",""
"openfarm:astragalus-kentrophyta-danaus:spiny-milkvetch:9961","Astragalus kentrophyta var. danaus","spiny milkvetch","astragalus kentrophyta","spiny milkvetch"
"openfarm:bensoniella-oregana:oregon-bensoniella:11725","Bensoniella oregana","Oregon bensoniella","bensoniella oregana","oregon bensoniella"
"openfarm:alepidea-gracilis:unknown:3442","Alepidea gracilis","","alepidea gracilis",""
"openfarm:aloe-kilifiensis:unknown:4383","Aloe kilifiensis","","aloe kilifiensis",""
"openfarm:derepyxis-urecolata:unknown:28462","Derepyxis urecolata","","derepyxis urecolata",""
